,linkId,Speed,DataAsOf
121,4763651,45.98,2021-01-29 14:18:04
122,4763649,42.25,2021-01-29 14:18:04
123,4616205,39.76,2021-01-29 14:18:04
124,4616204,44.11,2021-01-29 14:18:12
125,4616298,19.26,2021-01-29 14:18:12
126,4616299,38.52,2021-01-29 14:18:12
127,4616300,38.52,2021-01-29 14:18:12
128,4616276,33.55,2021-01-29 14:18:04
129,4616272,40.38,2021-01-29 14:18:12
130,4616259,26.09,2021-01-29 14:18:12
131,4616241,36.66,2021-01-29 14:18:12
132,4616213,48.46,2021-01-29 14:18:04
133,4616214,59.03,2021-01-29 14:18:04
134,4329481,0.0,1978-01-01 00:00:00
135,4616215,0.0,2021-01-29 14:18:12
136,4616212,50.95,2021-01-29 14:18:12
137,4616198,50.95,2021-01-29 14:18:12
138,4616202,60.27,2021-01-29 14:18:04
139,4616203,0.0,2021-01-29 14:18:04
140,4616200,52.19,2021-01-29 14:18:12
141,4329483,0.0,2021-01-29 14:18:03
142,4616201,57.16,2021-01-29 14:18:04
143,4616335,0.0,1978-01-01 00:00:00
144,4616343,0.0,1978-01-01 00:00:00
145,4616327,0.0,1978-01-01 00:00:00
146,4456494,0.0,2021-01-29 14:18:04
147,4616326,0.0,1978-01-01 00:00:00
148,4616336,0.0,1978-01-01 00:00:00
149,4620343,19.88,2021-01-29 14:18:03
150,4616346,47.22,2021-01-29 14:18:04
151,4456500,31.06,2021-01-29 14:18:03
152,4616239,36.66,2021-01-29 14:18:12
5,4456502,37.9,2021-01-29 14:39:03
8,4456501,41.01,2021-01-29 14:39:03
9,4616247,52.19,2021-01-29 14:39:12
10,4616246,52.19,2021-01-29 14:39:12
11,4616260,22.99,2021-01-29 14:39:12
12,4456479,22.99,2021-01-29 14:39:03
13,4456478,28.58,2021-01-29 14:39:03
14,4616261,22.99,2021-01-29 14:39:12
15,4616342,28.58,2021-01-29 14:39:12
16,4616257,21.12,2021-01-29 14:39:04
17,4616339,34.17,2021-01-29 14:39:04
18,4616340,32.93,2021-01-29 14:39:04
19,4616235,22.99,2021-01-29 14:39:12
21,4616232,27.34,2021-01-29 14:39:12
23,4616252,36.03,2021-01-29 14:39:12
24,4616266,59.65,2021-01-29 14:39:12
25,4456497,44.73,2021-01-29 14:39:03
26,4616305,57.16,2021-01-29 14:39:12
27,4616312,48.46,2021-01-29 14:39:04
28,4456496,42.25,2021-01-29 14:39:03
29,4616355,37.28,2021-01-29 14:39:04
34,4616297,21.74,2021-01-29 14:39:12
35,4616253,42.25,2021-01-29 14:39:12
41,4616351,25.47,2021-01-29 14:39:12
43,4456483,50.95,2021-01-29 14:39:03
44,4616320,55.3,2021-01-29 14:39:04
45,4362247,55.92,2021-01-29 14:39:03
46,4362252,52.19,2021-01-29 14:39:03
47,4616352,42.25,2021-01-29 14:39:12
48,4616350,42.25,2021-01-29 14:39:12
49,4362250,56.54,2021-01-29 14:39:03
50,4362244,50.33,2021-01-29 14:39:03
51,4456450,37.28,2021-01-29 14:39:03
52,4616329,22.99,2021-01-29 14:39:04
53,4616328,28.58,2021-01-29 14:39:12
59,4616318,26.09,2021-01-29 14:39:04
60,4616220,31.68,2021-01-29 14:39:04
61,4616223,23.61,2021-01-29 14:39:04
62,4616226,45.98,2021-01-29 14:39:04
63,4616319,29.2,2021-01-29 14:39:04
64,4763657,45.98,2021-01-29 14:39:05
65,4763655,41.63,2021-01-29 14:39:05
66,4620298,45.98,2021-01-29 14:39:03
67,4616250,57.16,2021-01-29 14:39:12
68,4456498,62.13,2021-01-29 14:39:05
70,4362342,26.09,2021-01-29 14:39:03
71,4616365,51.57,2020-04-13 10:54:04
72,4616364,55.92,2021-01-29 14:39:04
73,4456516,57.78,2020-04-13 10:54:03
74,4362249,42.87,2021-01-29 14:39:03
75,4362251,43.49,2021-01-29 14:39:03
77,4329472,29.2,2021-01-29 14:39:07
80,4616353,25.47,2021-01-29 14:39:12
81,4616354,31.06,2021-01-29 14:39:04
84,4620330,26.71,2021-01-29 14:39:07
86,4456477,27.34,2021-01-29 14:39:03
88,4616196,49.08,2021-01-29 14:39:04
89,4616210,37.28,2021-01-29 14:39:12
91,4456511,32.31,2021-01-29 14:39:03
92,4456510,31.06,2021-01-29 14:39:03
93,4616282,21.12,2021-01-29 14:39:04
94,4616193,52.19,2021-01-29 14:39:12
95,4616192,52.19,2021-01-29 14:39:12
96,4616195,47.22,2021-01-29 14:39:12
97,4616197,47.22,2021-01-29 14:39:12
99,4763648,37.9,2021-01-29 14:39:03
100,4616194,52.19,2021-01-29 14:39:12
102,4616217,41.63,2021-01-29 14:39:04
103,4616199,34.17,2021-01-29 14:39:12
104,4616208,25.47,2021-01-29 14:39:12
105,4616206,25.47,2021-01-29 14:39:12
106,4616211,34.17,2021-01-29 14:39:12
108,4616209,34.17,2021-01-29 14:39:12
109,4616225,45.36,2021-01-29 14:39:03
110,4456476,24.85,2021-01-29 14:39:03
111,4456481,29.2,2021-01-29 14:39:03
